"original_Location","lat","lon","formatted","district","county_code","city","name","county","state","state_code","country","country_code","confidence","attribution","attribution_license","attribution_url"
"Biscayne National Park, Miami",25.503122349999998,-80.23484963198766,"Biscayne National Park, Miami-Dade County, FL, United States of America",,,,"Biscayne National Park","Miami-Dade County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Santa Cruz",-48.5693327,-70.1606767,"Santa Cruz Province, Argentina",,,,,,"Santa Cruz Province",,"Argentina","ar",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Hienghène",-20.6893694,164.9440366,"98815 Hienghène, France",,,"Hienghène",,"North Province",,,"France","fr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,"New Smyrna Beach, New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,"New Smyrna Beach, New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Off Fort Pierce, St. Lucie County",27.3933242,-80.3714259,"Glades Cut Off Road, Fort Pierce, FL 34981, United States of America",,,"Fort Pierce","Glades Cut Off Road","Saint Lucie County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Playas de Tijuana",32.531474,-117.1161994,"Playas de Tijuana, Calle Colima, 22101 Tijuana, BCN, Mexico","Playas de Tijuana Secc Terrazas",,"Tijuana","Playas de Tijuana","Municipio de Tijuana","Baja California","BCN","Mexico","mx",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ponce Inlet, Volusia County",29.0963729,-80.9369983,"Ponce Inlet, FL, United States of America",,,"Ponce Inlet",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Silva's Channel, Mokuleia, O'ahu",47.47385,22.52262,"Silvaş, SM, Romania",,,"Silvaş",,,"Satu Mare","SM","Romania","ro",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Shelly Beach",-33.3704318,151.4859349,"Shelly Beach, Central Coast Council, NSW, Australia",,,"Central Coast Council",,,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Second Beach, Port St. John's",-31.64071,29.534373,"Second Beach Road, Port St Johns, South Africa",,,"Port St Johns",,"O.R.Tambo","Eastern Cape","EC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Smith Point, Long Island",23.191321,-75.102986,"Long Island, The Bahamas",,,,"Long Island",,"Long Island",,"The Bahamas","bs",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Nahoon, East London",-32.9729225,27.9244827,"Nahoon Valley, East London, EC, South Africa",,,"East London","Nahoon Valley","Buffalo City Metropolitan Municipality","Eastern Cape","EC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Sebastian Inlet, Brevard County",27.8557604,-80.4535013,"Sebastian Inlet, Brevard County, FL 34958, United States of America",,,,"Sebastian Inlet","Brevard County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Coffee Bay",50.5801421,8.6639316,"Coffee Bay, Bahnhofstraße 92, 35390 Gießen, Germany",,,"Gießen","Coffee Bay","Landkreis Gießen","Hesse",,"Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"St. Crispin Reef",51.518608,-0.076342,"Crispin Street, London, United Kingdom","Tower Hamlets",,"London",,"Greater London","England","ENG","United Kingdom","gb",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Atchin Island off Malakula",53.09975,14.241523,"Straße Id, Schwedt, Germany","Schwedt/Oder",,"Schwedt",,"Uckermark","Brandenburg","BB","Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"North Kihei, Maui",20.785164,-156.4629124,"North Kihei Road, Kihei, HI, United States of America",,,"Kihei","North Kihei Road","Maui County","Hawaii","HI","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Waiapu River mouth , East Cape",29.331728,76.613685,"Hat, Jind, India",,,"Hat",,"Jind","Haryana","HR","India","in",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Cocoa  Beach, Brevard County",28.3194741,-80.6102592,"Cocoa Beach, Cocoa Beach, FL, United States of America",,,"Cocoa Beach",,"Brevard County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Velzyland",21.67569,-158.0397,"Velzyland, Pupukea, HI, United States of America",,,"Pupukea","Velzyland","Honolulu","Hawaii","HI","United States","us",0,,"CC BY 4.0","https://www.geonames.org/datasources/"
"Taree, Old Bar Beach",52.5287235,13.40876,"Old CCCP Bar, Torstraße 58, 10119 Berlin, Germany","Mitte",,"Berlin","Old CCCP Bar",,"Berlin","BE","Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,"New Smyrna Beach, New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Goolwa Beach, Fleurieu Peninsula",-35.606205,138.101306,"Fleurieu Avenue, Cape Jervis SA, Australia",,,"Cape Jervis",,"Yankalilla","South Australia","SA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Topsail Beach, Pender County",34.3651685,-77.6305293,"Topsail Beach, NC, United States of America",,,"Topsail Beach",,"Pender County","North Carolina","NC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Atlantic Avenue, Palm Beach County",26.7234824,-80.0383482,"Atlantic Avenue, Palm Beach, FL 33480, United States of America",,,"Palm Beach","Atlantic Avenue","Palm Beach County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ixtapa",16.807622700000003,-92.898650478142,"Ixtapa, Mexico",,,,,"Ixtapa","Chiapas","CHP","Mexico","mx",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"High Rock, 25 to 30 miles east of Freeport",46.6844602,-121.9012831,"High Rock, Lewis County, WA, United States of America",,,,"High Rock","Lewis County","Washington","WA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Papamoa Beach, Bay of Plenty",-37.6972583,176.2848441,"Papamoa Beach, Tauranga, BOP, New Zealand",,,"Tauranga","Papamoa Beach","Tauranga City","Bay of Plenty","BOP","New Zealand","nz",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Oreti Beach",-46.4387778,168.2305268,"Oreti Beach, Te Araroa Trail, Invercargill City 9822, New Zealand",,,"Invercargill City","Oreti Beach","Southland District","Southland","STL","New Zealand","nz",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Big Island off Kona Village Resort, North Kona",19.663716,-155.943933,"Kailua Kona, HI, United States of America",,,"Kailua Kona",,"Hawaii County","Hawaii","HI","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Charleston",32.7884363,-79.9399309,"Charleston, SC, United States of America",,,"Charleston",,"Charleston County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Virginia Beach",36.8529841,-75.9774183,"Virginia Beach, VA, United States of America",,,"Virginia Beach",,,"Virginia","VA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Keurbooms",-34.0094131,20.3816509,"Keurbooms River, Swellendam Local Municipality, 6470, South Africa",,,"Swellendam Local Municipality","Keurbooms River","Overberg District Municipality","Western Cape","WC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Santa Rosa, Cozumel",14.163004,-90.362039,"Santa Rosa, Guatemala",,,,"Santa Rosa",,"Santa Rosa","SR","Guatemala","gt",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Myrtle Beach, Horry County",33.6956461,-78.8900409,"Myrtle Beach, SC 29577, United States of America",,,"Myrtle Beach",,"Horry County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Salmon Creek Beach, Sonoma County",38.33872845,-123.06814965031306,"South Salmon Creek Beach, Salmon Creek, CA, United States of America",,,"Salmon Creek","South Salmon Creek Beach","Sonoma County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,"New Smyrna Beach, New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Alligator Reef, off Islamorada, Monroe County",24.987845,-80.545258,"Islamorada, Village of Islands, FL, United States of America",,,"Islamorada, Village of Islands",,"Monroe","Florida","FL","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Cape Lookout Bight",45.339778,-123.992332,"Cape Lookout Trail, Tillamook County, OR, United States of America",,,,,"Tillamook County","Oregon","OR","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"South Jetty, New Smyrna Beach, Volusia County",29.047109,-80.926829,"New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,"New Smyrna Beach, New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Boa Viagem, Recife",-8.1235027,-34.9033955,"Boa Viagem, Recife, PE, Brazil","Recife",,"Recife",,"Região Metropolitana do Recife","Pernambuco","PE","Brazil","br",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Paradise Bay (next to Wailua Bay), Maui",2.631579,43.681258,"Bay, Somalia",,,,"Bay",,"Bay","BY","Somalia","so",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Matsuyama",33.8395188,132.7653521,"Matsuyama, Ehime Prefecture, Japan",,,"Matsuyama",,"Ehime Prefecture",,,"Japan","jp",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Florida Bay",25.0004073,-80.7497882,"Florida Bay, Monroe County, FL, United States of America",,,,"Florida Bay","Monroe County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Smitswinkel, False Bay",45.57492,11.45661,"Via False, Monteviale VI, Italy","Monteviale","VI","Monteviale",,"Vicenza","Veneto","VEN","Italy","it",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Singer Island, Riviera Beach, Palm Beach County",26.7850625,-80.0375408,"Singer Island, Riviera Beach, FL 33404, United States of America",,,"Riviera Beach","Singer Island","Palm Beach County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Kailua-Kona, Hawai'i",19.641941,-155.996933,"Kailua-Kona, HI 96840, United States of America",,,"Kailua-Kona","Kailua-Kona","Hawaiʻi County","Hawaii","HI","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ormond Beach / Daytona Beach, Volusia County",29.3086077,-81.07116708926922,"Ormond Beach Middle School, 151 Domicilio Avenue, Daytona Beach, FL 32174, United States of America",,,"Daytona Beach","Ormond Beach Middle School","Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"The Fence, King's Beach, Port Elizabeth",39.263878,-120.034262,"Kings Beach Trail, Placer County, CA, United States of America",,,,,"Placer County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Palm Beach, Palm Beach County",26.7056172,-80.0361517,"Palm Beach, FL, United States of America",,,"Palm Beach",,"Palm Beach County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Kane'ohe Bay, O'ahu",21.410365,-157.771652,"Kaneohe Bay Drive, Kaneohe, HI, United States of America",,,"Kaneohe",,"Honolulu","Hawaii","HI","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Hobe Sound, Palm Beach County",26.6915,-80.037993,"Palm Beach, FL, United States of America",,,"Palm Beach",,"Palm Beach County","Florida","FL","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Cocoa Beach, Brevard County",28.3194741,-80.6102592,"Cocoa Beach, Cocoa Beach, FL, United States of America",,,"Cocoa Beach",,"Brevard County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Wae-yeon Island",,,,,,,,,,,,,,,,
"Dewey Beach",38.691184,-75.0752724,"Dewey Beach, DE, United States of America",,,"Dewey Beach",,"Sussex County","Delaware","DE","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"13 km off Knysna",-34.032131,23.045998,"Knysna, Garden Route District Municipality, South Africa","Knysna",,"Knysna",,"Garden Route District Municipality","Western Cape","WC","South Africa","za",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Southport",53.6475988,-3.0041751,"Southport, PR8 1AH, United Kingdom",,,"Southport","Southport","Liverpool City Region","England","ENG","United Kingdom","gb",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Southport Bar",-27.9614615,153.3808037,"Griffith Uni Bar, Theatres Lane, Southport QLD 4214, Australia",,,"Gold Coast City","Griffith Uni Bar",,"Queensland","QLD","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Moonstone Beach, Humboldt County",41.0296555,-124.1093676,"Moonstone Beach Road, Moonstone, CA 95570, United States of America",,,"Moonstone","Moonstone Beach Road","Humboldt County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"2 km from Macassar, False Bay",49.492883,-124.349956,"False Bay, BC, Canada",,,"False Bay",,"Powell River","British Columbia","BC","Canada","ca",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Hartenbos",-34.1252157,22.1134424,"Hartenbos, Mossel Bay Local Municipality, 6506, South Africa",,,"Mossel Bay Local Municipality","Hartenbos","Garden Route District Municipality","Western Cape","WC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Off Hutchinson Island, St Lucie County",27.396555,-80.367796,"Glades Cut Off Road, St. Lucie County, FL, United States of America",,,,,"St. Lucie County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,"New Smyrna Beach, New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Wanganui",-39.9324904,175.0519306,"Whanganui 4500, New Zealand",,,"Whanganui","Whanganui","Whanganui District","Manawatū-Whanganui",,"New Zealand","nz",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
